# ACE/gr parameter file
#
@    version 50122
@    world xmin 0.25
@    world xmax 0.75
@    title font 5
@    xaxis  tick major 0.1
@    xaxis  tick minor 0.02
@    xaxis  label "(r-r\s1\N)/d"
@    xaxis  label font 5
@    xaxis  label char size 1.2
@    xaxis  ticklabel font 4
@    xaxis  ticklabel char size 1
@    yaxis  tick major .1
@    yaxis  tick minor .02
@    yaxis  label font 4
@    yaxis  label char size 1.2
@    yaxis  ticklabel font 5
@    yaxis  ticklabel char size 1
@    title "density between neighbors"
@    yaxis  label "n(r) (electrons/bohr\S3\N)"
@    world ymin .0
@    world ymax .2
@    yaxis  tick major .05
@    yaxis  tick minor 0.01
@ s0 color  1
@ s0 linestyle  1
@ legend string 0 "(1)-(1)"
@target s0
@type xy
  .1000000000  .4364403968
  .1050000000  .4209875886
  .1100000000  .4038547439
  .1150000000  .3855506136
  .1200000000  .3664897953
  .1250000000  .3469846790
  .1300000000  .3274654465
  .1350000000  .3081040552
  .1400000000  .2891589355
  .1450000000  .2707622337
  .1500000000  .2530403654
  .1550000000  .2360880802
  .1600000000  .2199640515
  .1650000000  .2046781254
  .1700000000  .1902425975
  .1750000000  .1766674646
  .1800000000  .1639736282
  .1850000000  .1520951655
  .1900000000  .1410039035
  .1950000000  .1306668794
  .2000000000  .1210476183
  .2050000000  .1121072880
  .2100000000  .1038057194
  .2150000000  .0961022877
  .2200000000  .0889566555
  .2250000000  .0823293811
  .2300000000  .0762004255
  .2350000000  .0705555184
  .2400000000  .0653239498
  .2450000000  .0604719609
  .2500000000  .0559681527
  .2550000000  .0517835432
  .2600000000  .0479412631
  .2650000000  .0443973172
  .2700000000  .0410963401
  .2750000000  .0380175075
  .2800000000  .0351959547
  .2850000000  .0325900595
  .2900000000  .0301497602
  .2950000000  .0278852023
  .3000000000  .0258205122
  .3050000000  .0238774796
  .3100000000  .0220716154
  .3150000000  .0204254340
  .3200000000  .0188677954
  .3250000000  .0174378025
  .3300000000  .0161143072
  .3350000000  .0148551045
  .3400000000  .0137318323
  .3450000000  .0126575224
  .3500000000  .0116726276
  .3550000000  .0107564782
  .3600000000  .0098949977
  .3650000000  .0091140214
  .3700000000  .0083626637
  .3750000000  .0076971951
  .3800000000  .0070499407
  .3850000000  .0064774881
  .3900000000  .0059227960
  .3950000000  .0054303361
  .4000000000  .0049552898
  .4050000000  .0045346690
  .4100000000  .0041283524
  .4150000000  .0037725008
  .4200000000  .0034257056
  .4250000000  .0031285601
  .4300000000  .0028348902
  .4350000000  .0025899540
  .4400000000  .0023491799
  .4450000000  .0021458630
  .4500000000  .0019538448
  .4550000000  .0017872570
  .4600000000  .0016407157
  .4650000000  .0015066244
  .4700000000  .0014031385
  .4750000000  .0013007476
  .4800000000  .0012677024
  .4850000000  .0012121196
  .4900000000  .0011725104
  .4950000000  .0011487824
  .5000000000  .0011408794
  .5050000000  .0011487824
  .5100000000  .0011725104
  .5150000000  .0012121196
  .5200000000  .0012677024
  .5250000000  .0013007476
  .5300000000  .0014031385
  .5350000000  .0015066244
  .5400000000  .0016407157
  .5450000000  .0017872570
  .5500000000  .0019538448
  .5550000000  .0021458630
  .5600000000  .0023491799
  .5650000000  .0025899540
  .5700000000  .0028348902
  .5750000000  .0031285601
  .5800000000  .0034257056
  .5850000000  .0037725008
  .5900000000  .0041283524
  .5950000000  .0045346690
  .6000000000  .0049552898
  .6050000000  .0054303361
  .6100000000  .0059227960
  .6150000000  .0064774881
  .6200000000  .0070499407
  .6250000000  .0076971951
  .6300000000  .0083626637
  .6350000000  .0091140214
  .6400000000  .0098949977
  .6450000000  .0107564782
  .6500000000  .0116726276
  .6550000000  .0126575224
  .6600000000  .0137318323
  .6650000000  .0148551045
  .6700000000  .0161143072
  .6750000000  .0174378025
  .6800000000  .0188677954
  .6850000000  .0204254340
  .6900000000  .0220716154
  .6950000000  .0238774796
  .7000000000  .0258205122
  .7050000000  .0278852023
  .7100000000  .0301497602
  .7150000000  .0325900595
  .7200000000  .0351959547
  .7250000000  .0380175075
  .7300000000  .0410963401
  .7350000000  .0443973172
  .7400000000  .0479412631
  .7450000000  .0517835432
  .7500000000  .0559681527
  .7550000000  .0604719609
  .7600000000  .0653239498
  .7650000000  .0705555184
  .7700000000  .0762004255
  .7750000000  .0823293811
  .7800000000  .0889566555
  .7850000000  .0961022877
  .7900000000  .1038057194
  .7950000000  .1121072880
  .8000000000  .1210476183
  .8050000000  .1306668794
  .8100000000  .1410039035
  .8150000000  .1520951655
  .8200000000  .1639736282
  .8250000000  .1766674646
  .8300000000  .1902425975
  .8350000000  .2046781254
  .8400000000  .2199640515
  .8450000000  .2360880802
  .8500000000  .2530403654
  .8550000000  .2707622337
  .8600000000  .2891589355
  .8650000000  .3081040552
  .8700000000  .3274654465
  .8750000000  .3469846790
  .8800000000  .3664897953
  .8850000000  .3855506136
  .8900000000  .4038547439
  .8950000000  .4209875886
&
@ s1 color  1
@ s1 linestyle  1
@target s1
@type xy
  .4753856227 -10.000
  .4753856227  10.000
  .5246143772  10.000
  .5246143772 -10.000
&
