# ACE/gr parameter file
#
@    version 50122
@    world xmin 0.25
@    world xmax 0.75
@    title font 5
@    xaxis  tick major 0.1
@    xaxis  tick minor 0.02
@    xaxis  label "(r-r\s1\N)/d"
@    xaxis  label font 5
@    xaxis  label char size 1.2
@    xaxis  ticklabel font 4
@    xaxis  ticklabel char size 1
@    yaxis  tick major .1
@    yaxis  tick minor .02
@    yaxis  label font 4
@    yaxis  label char size 1.2
@    yaxis  ticklabel font 5
@    yaxis  ticklabel char size 1
@    title "density between neighbors"
@    yaxis  label "n(r) (electrons/bohr\S3\N)"
@    world ymin .0
@    world ymax .2
@    yaxis  tick major .05
@    yaxis  tick minor 0.01
@ s0 color  1
@ s0 linestyle  1
@ legend string 0 "(1)-(1)"
@target s0
@type xy
  .1000000000  4.805478056
  .1050000000  4.483207224
  .1100000000  4.232862820
  .1150000000  4.020706612
  .1200000000  3.826723683
  .1250000000  3.638732391
  .1300000000  3.451652784
  .1350000000  3.262675382
  .1400000000  3.072775731
  .1450000000  2.882218653
  .1500000000  2.693624069
  .1550000000  2.508298209
  .1600000000  2.328089816
  .1650000000  2.154410819
  .1700000000  1.988276919
  .1750000000  1.830580187
  .1800000000  1.682258815
  .1850000000  1.543201923
  .1900000000  1.413486969
  .1950000000  1.293029550
  .2000000000  1.181610412
  .2050000000  1.078902932
  .2100000000  .9844996223
  .2150000000  .8979366018
  .2200000000  .8187153438
  .2250000000  .7463213156
  .2300000000  .6804925314
  .2350000000  .6210265993
  .2400000000  .5669177467
  .2450000000  .5176788643
  .2500000000  .4728570958
  .2550000000  .4320368280
  .2600000000  .3954896620
  .2650000000  .3625782544
  .2700000000  .3325503134
  .2750000000  .3051220277
  .2800000000  .2806939143
  .2850000000  .2586968877
  .2900000000  .2385076223
  .2950000000  .2202293995
  .3000000000  .2040850237
  .3050000000  .1891693741
  .3100000000  .1756448949
  .3150000000  .1637047781
  .3200000000  .1525912606
  .3250000000  .1426881220
  .3300000000  .1337485145
  .3350000000  .1253692326
  .3400000000  .1181878214
  .3450000000  .1113950564
  .3500000000  .1053445961
  .3550000000  .0998332921
  .3600000000  .0947454765
  .3650000000  .0902658764
  .3700000000  .0859961404
  .3750000000  .0823455026
  .3800000000  .0788104587
  .3850000000  .0757853653
  .3900000000  .0728675810
  .3950000000  .0703500409
  .4000000000  .0679335980
  .4050000000  .0658474686
  .4100000000  .0638401158
  .4150000000  .0621219677
  .4200000000  .0604506238
  .4250000000  .0590482096
  .4300000000  .0576621982
  .4350000000  .0565260480
  .4400000000  .0554099106
  .4450000000  .0544760982
  .4500000000  .0535968231
  .4550000000  .0528359479
  .4600000000  .0521683725
  .4650000000  .0515568708
  .4700000000  .0510830736
  .4750000000  .0506142901
  .4800000000  .0507114908
  .4850000000  .0504751683
  .4900000000  .0503072378
  .4950000000  .0502068281
  .5000000000  .0501734164
  .5050000000  .0502068281
  .5100000000  .0503072378
  .5150000000  .0504751683
  .5200000000  .0507114908
  .5250000000  .0506142901
  .5300000000  .0510830736
  .5350000000  .0515568708
  .5400000000  .0521683725
  .5450000000  .0528359479
  .5500000000  .0535968231
  .5550000000  .0544760982
  .5600000000  .0554099106
  .5650000000  .0565260480
  .5700000000  .0576621982
  .5750000000  .0590482096
  .5800000000  .0604506238
  .5850000000  .0621219677
  .5900000000  .0638401158
  .5950000000  .0658474686
  .6000000000  .0679335980
  .6050000000  .0703500409
  .6100000000  .0728675810
  .6150000000  .0757853653
  .6200000000  .0788104587
  .6250000000  .0823455026
  .6300000000  .0859961404
  .6350000000  .0902658764
  .6400000000  .0947454765
  .6450000000  .0998332921
  .6500000000  .1053445961
  .6550000000  .1113950564
  .6600000000  .1181878214
  .6650000000  .1253692326
  .6700000000  .1337485145
  .6750000000  .1426881220
  .6800000000  .1525912606
  .6850000000  .1637047781
  .6900000000  .1756448949
  .6950000000  .1891693741
  .7000000000  .2040850237
  .7050000000  .2202293995
  .7100000000  .2385076223
  .7150000000  .2586968877
  .7200000000  .2806939143
  .7250000000  .3051220277
  .7300000000  .3325503134
  .7350000000  .3625782544
  .7400000000  .3954896620
  .7450000000  .4320368280
  .7500000000  .4728570958
  .7550000000  .5176788643
  .7600000000  .5669177467
  .7650000000  .6210265993
  .7700000000  .6804925314
  .7750000000  .7463213156
  .7800000000  .8187153438
  .7850000000  .8979366018
  .7900000000  .9844996223
  .7950000000  1.078902932
  .8000000000  1.181610412
  .8050000000  1.293029550
  .8100000000  1.413486969
  .8150000000  1.543201923
  .8200000000  1.682258815
  .8250000000  1.830580187
  .8300000000  1.988276919
  .8350000000  2.154410819
  .8400000000  2.328089816
  .8450000000  2.508298209
  .8500000000  2.693624069
  .8550000000  2.882218653
  .8600000000  3.072775731
  .8650000000  3.262675382
  .8700000000  3.451652784
  .8750000000  3.638732391
  .8800000000  3.826723683
  .8850000000  4.020706612
  .8900000000  4.232862820
  .8950000000  4.483207224
&
@ s1 color  1
@ s1 linestyle  1
@target s1
@type xy
  .4753856227 -10.000
  .4753856227  10.000
  .5246143772  10.000
  .5246143772 -10.000
&
