# ACE/gr parameter file
#
@    version 50122
@    world xmin 0.25
@    world xmax 0.75
@    title font 5
@    xaxis  tick major 0.1
@    xaxis  tick minor 0.02
@    xaxis  label "(r-r\s1\N)/d"
@    xaxis  label font 5
@    xaxis  label char size 1.2
@    xaxis  ticklabel font 4
@    xaxis  ticklabel char size 1
@    yaxis  tick major .1
@    yaxis  tick minor .02
@    yaxis  label font 4
@    yaxis  label char size 1.2
@    yaxis  ticklabel font 5
@    yaxis  ticklabel char size 1
@    title "density between neighbors"
@    yaxis  label "n(r) (electrons/bohr\S3\N)"
@    world ymin .0
@    world ymax .2
@    yaxis  tick major .05
@    yaxis  tick minor 0.01
@ s0 color  1
@ s0 linestyle  1
@ legend string 0 "(1)-(1)"
@target s0
@type xy
  .1000000000  4.805664181
  .1050000000  4.483388192
  .1100000000  4.233036737
  .1150000000  4.020872025
  .1200000000  3.826879530
  .1250000000  3.638877933
  .1300000000  3.451787714
  .1350000000  3.262799598
  .1400000000  3.072889399
  .1450000000  2.882322095
  .1500000000  2.693717737
  .1550000000  2.508382662
  .1600000000  2.328165675
  .1650000000  2.154478709
  .1700000000  1.988337479
  .1750000000  1.830634060
  .1800000000  1.682306657
  .1850000000  1.543244320
  .1900000000  1.413524473
  .1950000000  1.293062677
  .2000000000  1.181639638
  .2050000000  1.078928691
  .2100000000  .9845223076
  .2150000000  .8979565673
  .2200000000  .8187329056
  .2250000000  .7463367542
  .2300000000  .6805061051
  .2350000000  .6210385467
  .2400000000  .5669282573
  .2450000000  .5176881031
  .2500000000  .4728652064
  .2550000000  .4320439354
  .2600000000  .3954958938
  .2650000000  .3625837125
  .2700000000  .3325550746
  .2750000000  .3051261593
  .2800000000  .2806974900
  .2850000000  .2586999634
  .2900000000  .2385102380
  .2950000000  .2202315963
  .3000000000  .2040868438
  .3050000000  .1891708412
  .3100000000  .1756460351
  .3150000000  .1637056187
  .3200000000  .1525918159
  .3250000000  .1426884117
  .3300000000  .1337485536
  .3350000000  .1253690307
  .3400000000  .1181873955
  .3450000000  .1113944131
  .3500000000  .1053437463
  .3550000000  .0998322441
  .3600000000  .0947442371
  .3650000000  .0902644548
  .3700000000  .0859945409
  .3750000000  .0823437350
  .3800000000  .0788085262
  .3850000000  .0757832771
  .3900000000  .0728653402
  .3950000000  .0703476562
  .4000000000  .0679310727
  .4050000000  .0658448111
  .4100000000  .0638373292
  .4150000000  .0621190609
  .4200000000  .0604475993
  .4250000000  .0590450773
  .4300000000  .0576589595
  .4350000000  .0565227143
  .4400000000  .0554064833
  .4450000000  .0544725874
  .4500000000  .0535932320
  .4550000000  .0528322844
  .4600000000  .0521646428
  .4650000000  .0515530793
  .4700000000  .0510792305
  .4750000000  .0506103961
  .4800000000  .0507075550
  .4850000000  .0504711993
  .4900000000  .0503032450
  .4950000000  .0502028211
  .5000000000  .0501694046
  .5050000000  .0502028211
  .5100000000  .0503032450
  .5150000000  .0504711993
  .5200000000  .0507075550
  .5250000000  .0506103961
  .5300000000  .0510792305
  .5350000000  .0515530793
  .5400000000  .0521646428
  .5450000000  .0528322844
  .5500000000  .0535932320
  .5550000000  .0544725874
  .5600000000  .0554064833
  .5650000000  .0565227143
  .5700000000  .0576589595
  .5750000000  .0590450773
  .5800000000  .0604475993
  .5850000000  .0621190609
  .5900000000  .0638373292
  .5950000000  .0658448111
  .6000000000  .0679310727
  .6050000000  .0703476562
  .6100000000  .0728653402
  .6150000000  .0757832771
  .6200000000  .0788085262
  .6250000000  .0823437350
  .6300000000  .0859945409
  .6350000000  .0902644548
  .6400000000  .0947442371
  .6450000000  .0998322441
  .6500000000  .1053437463
  .6550000000  .1113944131
  .6600000000  .1181873955
  .6650000000  .1253690307
  .6700000000  .1337485536
  .6750000000  .1426884117
  .6800000000  .1525918159
  .6850000000  .1637056187
  .6900000000  .1756460351
  .6950000000  .1891708412
  .7000000000  .2040868438
  .7050000000  .2202315963
  .7100000000  .2385102380
  .7150000000  .2586999634
  .7200000000  .2806974900
  .7250000000  .3051261593
  .7300000000  .3325550746
  .7350000000  .3625837125
  .7400000000  .3954958938
  .7450000000  .4320439354
  .7500000000  .4728652064
  .7550000000  .5176881031
  .7600000000  .5669282573
  .7650000000  .6210385467
  .7700000000  .6805061051
  .7750000000  .7463367542
  .7800000000  .8187329056
  .7850000000  .8979565673
  .7900000000  .9845223076
  .7950000000  1.078928691
  .8000000000  1.181639638
  .8050000000  1.293062677
  .8100000000  1.413524473
  .8150000000  1.543244320
  .8200000000  1.682306657
  .8250000000  1.830634060
  .8300000000  1.988337479
  .8350000000  2.154478709
  .8400000000  2.328165675
  .8450000000  2.508382662
  .8500000000  2.693717737
  .8550000000  2.882322095
  .8600000000  3.072889399
  .8650000000  3.262799598
  .8700000000  3.451787714
  .8750000000  3.638877933
  .8800000000  3.826879530
  .8850000000  4.020872025
  .8900000000  4.233036737
  .8950000000  4.483388192
&
@ s1 color  1
@ s1 linestyle  1
@target s1
@type xy
  .4753856227 -10.000
  .4753856227  10.000
  .5246143772  10.000
  .5246143772 -10.000
&
